Name,Age,Address
John,31.0,
Laura,,Berlin
Laura,50.0,Rome
Eve,,New York
John,40.0,Rome
Emma,26.0,Toronto
John,,Tokyo
John,52.0,London
Mike,,London
John,58.0,Tokyo
Olivia,27.0,New York
Bob,,Sydney
John,54.0,Berlin
Bob,45.0,Sydney
Olivia,34.0,Sydney
Bob,,Toronto
Mike,,Sydney
David,48.0,Madrid
Olivia,,
Bob,55.0,Tokyo
Alice,32.0,Moscow
Eve,,Toronto
David,51.0,Tokyo
Laura,,London
John,,
Mike,,Rome
Eve,,Berlin
David,39.0,New York
Eve,52.0,Moscow
David,50.0,
Eve,27.0,
Alice,55.0,London
Mike,,Madrid
Olivia,,Rome
James,54.0,Madrid
Alice,,Madrid
David,47.0,Tokyo
John,51.0,Paris
Mike,48.0,New York
James,40.0,Moscow
Eve,56.0,Tokyo
James,25.0,Moscow
Laura,31.0,Paris
John,,New York
Olivia,49.0,Sydney
David,35.0,
Sophia,55.0,Paris
James,,New York
Laura,42.0,
Emma,33.0,Madrid
Bob,48.0,Berlin
Mike,21.0,London
Emma,57.0,New York
Emma,25.0,Toronto
Eve,22.0,New York
Emma,37.0,
David,,Berlin
Sophia,47.0,Madrid
Sophia,37.0,Tokyo
John,20.0,New York
Eve,,Paris
Alice,42.0,Toronto
John,39.0,Moscow
David,48.0,Paris
Bob,55.0,Toronto
Eve,43.0,Madrid
Bob,34.0,London
David,51.0,
Olivia,25.0,London
Bob,42.0,New York
Emma,54.0,Tokyo
Alice,26.0,Moscow
David,29.0,Sydney
Eve,21.0,Sydney
Emma,46.0,Paris
Mike,25.0,New York
Eve,,New York
Sophia,47.0,Madrid
Emma,58.0,Madrid
Emma,51.0,Paris
Mike,39.0,Moscow
Emma,60.0,
Mike,47.0,Tokyo
James,47.0,Madrid
Mike,,New York
John,22.0,Toronto
Emma,28.0,Tokyo
Laura,45.0,Tokyo
Emma,26.0,Berlin
Eve,57.0,Moscow
David,60.0,
David,31.0,Moscow
James,45.0,Berlin
Olivia,22.0,Madrid
John,27.0,Rome
Mike,33.0,London
Bob,42.0,
James,48.0,Tokyo
Olivia,40.0,Tokyo
Olivia,55.0,Tokyo
Alice,,Madrid
Emma,,Berlin
John,51.0,Sydney
James,30.0,Toronto
Eve,,Berlin
John,44.0,Rome
Emma,21.0,London
