Name,Age,Address
Sophia,25.0,Tokyo
Mike,26.0,Paris
Olivia,29.0,Sydney
Sophia,40.0,
Laura,45.0,Toronto
Mike,28.0,Toronto
Mike,23.0,Paris
Alice,,Tokyo
John,,Moscow
Laura,34.0,Moscow
Laura,34.0,Toronto
Bob,37.0,Tokyo
Sophia,,Rome
Eve,34.0,
John,25.0,Rome
Bob,39.0,Paris
Olivia,35.0,New York
Eve,46.0,Paris
Alice,55.0,New York
Sophia,,Moscow
John,27.0,Sydney
Laura,57.0,Rome
John,21.0,London
Eve,57.0,Tokyo
Alice,46.0,Tokyo
Mike,60.0,
Mike,42.0,Toronto
Bob,58.0,Sydney
Emma,50.0,Sydney
Emma,50.0,London
Olivia,44.0,Madrid
Sophia,51.0,Tokyo
Eve,34.0,Rome
Sophia,,Paris
Sophia,52.0,New York
Mike,32.0,London
John,34.0,Berlin
Laura,,London
Eve,,Sydney
Eve,44.0,Tokyo
John,37.0,Tokyo
John,60.0,Moscow
James,,Sydney
David,31.0,Tokyo
Bob,,Sydney
Sophia,43.0,Moscow
Mike,28.0,Paris
Olivia,47.0,Madrid
Olivia,31.0,London
Laura,22.0,Madrid
Bob,20.0,Moscow
Eve,22.0,Rome
James,33.0,Sydney
Olivia,,Tokyo
Bob,31.0,Paris
Mike,25.0,Sydney
Alice,42.0,Berlin
Sophia,,Tokyo
Laura,56.0,Moscow
Sophia,26.0,Madrid
Bob,,Berlin
Laura,,Paris
Eve,48.0,Paris
Olivia,,Moscow
Alice,57.0,Toronto
David,60.0,Sydney
Emma,47.0,Madrid
Sophia,32.0,New York
Bob,41.0,Rome
Emma,48.0,Rome
Laura,20.0,
Olivia,49.0,
Sophia,25.0,Madrid
Sophia,40.0,Madrid
Laura,,Madrid
Sophia,51.0,Tokyo
Sophia,36.0,Tokyo
Sophia,56.0,Sydney
Bob,46.0,New York
Bob,27.0,
Olivia,54.0,Moscow
John,27.0,London
Alice,59.0,
Bob,37.0,Rome
James,,Sydney
John,53.0,
John,24.0,
David,49.0,
Eve,43.0,Moscow
Eve,37.0,Tokyo
James,33.0,Paris
Emma,46.0,Tokyo
Eve,59.0,Tokyo
Emma,34.0,Toronto
Mike,32.0,London
Sophia,56.0,Madrid
Alice,20.0,Sydney
James,60.0,Rome
David,,Moscow
Mike,33.0,London
James,57.0,Berlin
Eve,40.0,Sydney
Alice,44.0,Rome
David,,London
Emma,33.0,Rome
Laura,59.0,Madrid
Eve,39.0,London
Mike,39.0,
James,56.0,Sydney
Alice,35.0,Madrid
John,28.0,Sydney
Eve,23.0,Toronto
David,51.0,London
John,,Tokyo
James,60.0,Toronto
James,48.0,Madrid
Eve,41.0,Paris
James,51.0,New York
Emma,25.0,Toronto
Bob,44.0,Madrid
Emma,,London
James,46.0,New York
Mike,,Sydney
Sophia,,Berlin
John,35.0,Rome
John,45.0,Moscow
John,33.0,Toronto
Alice,42.0,Madrid
Laura,23.0,Rome
Bob,32.0,Toronto
John,54.0,
Alice,47.0,London
Mike,53.0,Rome
Emma,,New York
Eve,39.0,London
Bob,,Sydney
Laura,58.0,Tokyo
Olivia,55.0,Paris
Sophia,32.0,Moscow
Olivia,33.0,Moscow
David,,New York
John,55.0,Toronto
